,ISO3166,Регион
0,AM,Армения
1,AZ,Азербайджан
2,EE,Эстония
3,GE,Грузия
4,KG,Киргизия
5,KZ,Казахстан
6,LT,Литва
7,LV,Латвия
8,MD,Молдова
9,TJ,Таджикистан
10,TM,Туркмения
11,UZ,Узбекистан
12,BY,Беларусь
13,BY-HO,Гомельская область
14,BY-VI,Витебская область
15,BY-BR,Брестская область
16,BY-HR,Гродненская область
17,BY-MI,Минская область
18,BY-MO,Могилевская область
19,RU,Российская Федерация
20,RU-AD,Адыгея
21,RU-AL,Республика Алтай
22,RU-ALT,Алтайский край
23,RU-AMU,Амурская область
24,RU-ARK,Архангельская область
25,RU-AST,Астраханская область
26,RU-BA,Башкортостан
27,RU-BEL,Белгородская область
28,RU-BRY,Брянская область
29,RU-BU,Республика Бурятия
30,RU-CE,Чечня
31,RU-CHE,Челябинская область
32,RU-CHU,Чукотский автономный округ
33,RU-CR,Республика Крым
34,RU-CU,Чувашия
35,RU-DA,Дагестан
36,RU-IN,Ингушетия
37,RU-IRK,Иркутская область
38,RU-IVA,Ивановская область
39,RU-KAM,Камчатский край
40,RU-KB,Кабардино-Балкария
41,RU-KC,Карачаево-Черкесия
42,RU-KDA,Краснодарский край
43,RU-KEM,Кемеровская область
44,RU-KGD,Калининградская область
45,RU-KGN,Курганская область
46,RU-KHA,Хабаровский край
47,RU-KHM,Ханты-Мансийский автономный округ — Югра
48,RU-KIR,Кировская область
49,RU-KK,Республика Хакасия
50,RU-KL,Калмыкия
51,RU-KLU,Калужская область
52,RU-KO,Республика Коми
53,RU-KOS,Костромская область
54,RU-KR,Республика Карелия
55,RU-KRS,Курская область
56,RU-KYA,Красноярский край
57,RU-LEN,Ленинградская область
58,RU-LIP,Липецкая область
59,RU-MAG,Магаданская область
60,RU-ME,Марий Эл
61,RU-MO,Мордовия
62,RU-MOS,Московская область
63,RU-MOW,Москва
64,RU-MUR,Мурманская область
65,RU-NEN,Ненецкий автономный округ
66,RU-NGR,Новгородская область
67,RU-NIZ,Нижегородская область
68,RU-NVS,Новосибирская область
69,RU-OMS,Омская область
70,RU-ORE,Оренбургская область
71,RU-ORL,Орловская область
72,RU-PER,Пермский край
73,RU-PNZ,Пензенская область
74,RU-PRI,Приморский край
75,RU-PSK,Псковская область
76,RU-ROS,Ростовская область
77,RU-RYA,Рязанская область
78,RU-SA,Республика Саха (Якутия)
79,RU-SAK,Сахалинская область
80,RU-SAM,Самарская область
81,RU-SAR,Саратовская область
82,RU-SE,Северная Осетия — Алания
83,RU-SEV,Севастополь
84,RU-SMO,Смоленская область
85,RU-SPE,Санкт-Петербург
86,RU-STA,Ставропольский край
87,RU-SVE,Свердловская область
88,RU-TA,Татарстан
89,RU-TAM,Тамбовская область
90,RU-TOM,Томская область
91,RU-TUL,Тульская область
92,RU-TVE,Тверская область
93,RU-TY,Республика Тыва
94,RU-TYU,Тюменская область
95,RU-UD,Удмуртия
96,RU-ULY,Ульяновская область
97,RU-VGG,Волгоградская область
98,RU-VLA,Владимирская область
99,RU-VLG,Вологодская область
100,RU-VOR,Воронежская область
101,RU-YAN,Ямало-Ненецкий автономный округ
102,RU-YAR,Ярославская область
103,RU-YEV,Еврейская автономная область
104,RU-ZAB,Забайкальский край
105,UA,Украина
106,UA-05,Винницкая область
107,UA-07,Волынская область
108,UA-12,Днепропетровская область
109,UA-14,Донецкая область
110,UA-18,Житомирская область
111,UA-21,Закарпатская область
112,UA-23,Запорожская область
113,UA-26,Ивано-Франковская область
114,UA-32,Киевская область
115,UA-35,Кировоградская область
116,UA-09,Луганская область
117,UA-46,Львовская область
118,UA-48,Николаевская область
119,UA-51,Одесская область
120,UA-53,Полтавская область
121,UA-56,Ровенская область
122,UA-59,Сумская область
123,UA-61,Тернопольская область
124,UA-63,Харьковская область
125,UA-65,Херсонская область
126,UA-68,Хмельницкая область
127,UA-71,Черкасская область
128,UA-74,Черниговская область
129,UA-77,Черновицкая область
130,local,локальное покрытие
